original_feature,importance
completion_percent,0.4781831881583115
distraction_level_1_10,0.17786844296719914
hour_of_day,0.1313068866590584
energy_before_1_10,0.09081948563122076
sleep_hours,0.053876138478401475
duration_min,0.022991034276837415
difficulty_1_5,0.015195849169492305
break_before_days,0.012656648027280521
time_of_day,0.007686313858451767
topic_type,0.0038363908215416007
location,0.0033640055108633132
device_used,0.0019916399839230497
weekday_number,0.00022397645741867357
